filename,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40
../audio/high--_gb_1.wav,-616.19244,24.889858,10.260074,2.9267077,1.3416562,-0.20965506,1.3721944,8.12047,13.166938,11.469303,6.518812,2.7860062,1.0822698,1.0489175,1.6231632,1.9781853,3.8426125,7.1750073,6.6542025,0.7589052,-2.6436796,1.0335498,5.148495,4.9425116,5.011343,6.6351824,3.6857922,-3.3097324,-5.6883135,-2.269516,-0.41835862,-1.5656455,-0.551486,2.986124,4.929697,4.234739,1.8911672,-1.6326348,-3.866849,-2.4654906
../audio/high--_gb_1.wav,-597.4138,41.888103,12.292547,2.2278218,4.425141,0.17417675,-3.222361,5.992342,16.196407,13.252635,4.38883,2.2288947,4.9932585,4.833892,1.37692,-0.18539679,2.6444774,5.590358,2.1945648,-5.5604286,-7.975987,-3.0842156,0.6665264,0.9208688,3.576294,6.2817082,0.8891202,-7.3683696,-6.129511,1.2543893,2.1630354,-1.965956,-0.82572156,4.510316,5.863037,3.2449167,1.5241516,1.3768022,1.7618792,2.2914302
../audio/high--_gb_1.wav,-558.1014,74.38975,12.575626,1.071028,11.218847,1.642804,-5.3592424,9.94909,21.97482,13.203415,2.444082,4.533619,7.156657,-0.029889703,-7.11122,-4.823251,2.6898432,7.68237,4.8806505,-3.6163535,-7.037714,-2.334844,0.16722679,-2.5060492,-1.1061559,4.09646,1.5356181,-6.8581133,-6.006093,2.8095632,5.0339227,3.4714923,7.659277,9.184425,3.167849,0.9328618,3.033741,1.6488825,1.5314815,4.2060056
../audio/high--_gb_1.wav,-387.99976,211.56897,37.92565,2.1717322,-8.408726,-9.055097,-26.197216,-11.910305,25.002277,-2.2815356,-12.713257,6.9391046,2.553154,-6.6939697,-12.030575,-1.8306847,-0.3493001,-6.1916847,1.63324,-6.8539004,-9.452684,1.3237321,0.028517723,-3.3674817,-7.963478,-0.79209733,3.4251444,-12.777954,-11.097626,2.0244706,0.7777469,-2.5741158,-1.3010736,-0.6282524,-6.4981394,-9.912005,-5.4357967,-3.276816,-3.0950994,3.0837243
../audio/high--_gb_1.wav,-263.3844,257.18195,11.33859,6.0493946,-33.857975,-4.356968,-22.38398,-29.587582,28.940624,-0.88517,-18.08585,6.8249044,-1.9785148,-5.258885,-5.6424255,0.48760307,-4.051621,-8.242278,-0.90926945,-10.373083,-6.8544593,-2.7244556,5.2069235,2.1942222,-8.225227,0.7530346,1.454956,-12.10047,-15.033416,3.3409538,4.0898333,-2.2565377,2.2360651,0.74194837,-7.5142307,-9.751627,-3.01445,1.2223072,-0.614874,1.6637644
../audio/high--_gb_1.wav,-228.44202,250.91437,4.1918035,7.029156,-38.713783,-5.9264054,-30.752079,-20.186638,20.357206,0.9840424,-14.95199,8.084472,-9.489746,-5.5868726,0.003058225,-0.16445652,-4.9903297,-7.597827,2.4010394,-16.476849,0.42709997,-5.996561,6.4225364,2.597525,-6.5697846,2.3477488,-0.6594014,-5.8989944,-17.511402,7.4987803,-0.710545,-0.3788756,1.081964,2.3843925,-4.7069883,-11.041546,1.6208639,-3.566547,4.091336,-2.5477285
../audio/high--_gb_1.wav,-228.4834,239.37454,-4.0105386,-4.3942127,-35.218132,-3.1826794,-37.484978,-6.215522,24.23557,4.606375,-14.741903,5.9175606,-12.866615,-1.8712018,3.4411342,3.7924285,-0.1582269,-12.78997,5.4443984,-14.5824375,2.010374,-8.739749,7.804697,1.1107267,-8.375374,6.741444,-0.7351353,0.9565501,-13.764917,4.905698,-5.592442,-2.7315025,-1.2028389,1.4240351,-4.4928775,-10.972783,2.8911371,-8.48452,2.3699393,-4.2697206
../audio/high--_gb_1.wav,-225.18379,247.22327,-8.81933,-14.229927,-31.866405,-6.066613,-46.763283,-9.406357,25.873283,1.3906614,-23.150566,-0.69275403,-11.060856,-1.0335344,-5.80215,1.284164,0.5517752,-17.426311,3.2870598,-13.469711,-2.662371,-11.336829,14.989683,0.19889468,-11.881298,9.354313,-6.204264,-4.76888,-12.477623,4.2264347,-2.4179823,-4.6147394,-5.1333942,5.4472036,-2.0041084,-8.781874,3.673026,-7.8246775,2.264587,-5.621896
../audio/high--_gb_1.wav,-227.9157,242.85191,-19.479193,-11.816027,-34.399586,-10.057117,-47.511177,-19.434402,32.43428,-5.7853117,-30.325176,6.0437403,-10.001469,-2.171317,-4.024196,0.8770123,-2.9868326,-15.284626,2.988379,-20.366138,-9.014798,-9.440474,10.923422,-2.96344,-17.823116,3.0763717,-6.374996,-9.333096,-6.843048,5.8184986,-1.2089857,-3.1484299,-8.123385,0.27420294,-5.8419886,-6.878029,-1.7288582,-8.524717,-2.1667166,-11.27973
../audio/high--_gb_1.wav,-228.60178,238.21552,-20.14705,-5.6708913,-42.504623,-16.811752,-42.590237,-18.774075,30.144024,-6.784903,-28.475912,5.658044,-4.7528715,-1.624853,-6.6269207,2.4819007,-4.4750547,-15.772749,-1.0507501,-21.514542,-12.076931,-7.489404,12.42609,-9.312595,-14.259548,3.2785792,-9.438142,-11.198616,-8.044657,2.2956676,-2.7045617,4.3240066,-5.43139,0.9848478,-8.281742,-9.529765,-2.3260512,-8.558836,3.3176413,-11.222639
