filename,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,mfcc41,mfcc42,mfcc43,mfcc44,mfcc45,mfcc46,mfcc47,mfcc48,mfcc49,mfcc50,mfcc51,mfcc52,mfcc53,mfcc54,mfcc55,mfcc56,mfcc57,mfcc58,mfcc59,mfcc60,mfcc61,mfcc62,mfcc63,mfcc64,mfcc65,mfcc66,mfcc67,mfcc68,mfcc69,mfcc70,mfcc71,mfcc72,mfcc73,mfcc74,mfcc75,mfcc76,mfcc77,mfcc78,mfcc79,mfcc80,mfcc81,mfcc82,mfcc83,mfcc84,mfcc85,mfcc86,mfcc87,mfcc88,mfcc89,mfcc90,mfcc91,mfcc92,mfcc93,mfcc94,mfcc95,mfcc96,mfcc97,mfcc98,mfcc99,mfcc100
../audio/high--_gb_1.wav,-616.19244,24.889858,10.260074,2.9267077,1.3416562,-0.20965506,1.3721944,8.12047,13.166938,11.469303,6.518812,2.7860062,1.0822698,1.0489175,1.6231632,1.9781853,3.8426125,7.1750073,6.6542025,0.7589052,-2.6436796,1.0335498,5.148495,4.9425116,5.011343,6.6351824,3.6857922,-3.3097324,-5.6883135,-2.269516,-0.41835862,-1.5656455,-0.551486,2.986124,4.929697,4.234739,1.8911672,-1.6326348,-3.866849,-2.4654906,0.15793219,1.2850038,2.490615,3.5763125,0.5724664,-4.8562655,-5.4234085,-1.2654806,0.010331184,-2.5089965,-2.6566381,0.12095386,1.0953848,0.30067897,0.7405461,1.3252888,0.26947802,-0.5972185,-0.114733934,0.5038949,1.5607473,3.3722775,3.3395076,1.1004481,0.7852234,2.813233,2.2382817,-0.95548034,-0.8674885,2.8045015,4.0149326,1.5345283,-0.4715287,-1.3529003,-3.173545,-4.31339,-2.3838747,0.64176077,1.9208215,1.5441856,0.29858184,-1.1515485,-1.0336275,0.79917383,1.5168693,0.23919868,-0.4844321,-0.07315028,-0.37896368,-0.56107426,1.2376021,2.6976147,1.1168895,-0.9504067,-0.5123749,0.31141376,-0.7879716,-1.7519627,-0.8939108,-0.09421158
../audio/high--_gb_1.wav,-597.4138,41.888103,12.292547,2.2278218,4.425141,0.17417675,-3.222361,5.992342,16.196407,13.252635,4.38883,2.2288947,4.9932585,4.833892,1.37692,-0.18539679,2.6444774,5.590358,2.1945648,-5.5604286,-7.975987,-3.0842156,0.6665264,0.9208688,3.576294,6.2817082,0.8891202,-7.3683696,-6.129511,1.2543893,2.1630354,-1.965956,-0.82572156,4.510316,5.863037,3.2449167,1.5241516,1.3768022,1.7618792,2.2914302,1.4897861,0.25204182,2.0169241,4.2772503,0.9921014,-4.139423,-2.446189,2.6712124,1.7791685,-2.3651543,-1.7631298,0.5029453,-1.0051446,-1.7163124,1.1694372,0.6476302,-4.705464,-5.9498878,-1.4440947,0.73286957,0.017318472,2.5097322,5.504476,2.6712809,-1.504695,0.05781305,3.4417233,2.5035448,0.26897717,1.0339146,2.3218517,1.2957406,-0.7378,-2.4584696,-3.3742778,-2.2819595,-0.021501243,0.77877855,0.46742475,0.6430325,-0.2545861,-2.5622385,-2.2046814,1.3354598,2.348814,-0.48063385,-1.5370841,0.46971023,0.7891631,-1.0776224,-1.4826124,-1.1305981,-2.498585,-3.2638247,-1.2697694,0.5537121,0.3542835,0.3068717,0.57662106,-0.6842315
../audio/high--_gb_1.wav,-558.1014,74.38975,12.575626,1.071028,11.218847,1.642804,-5.3592424,9.94909,21.97482,13.203415,2.444082,4.533619,7.156657,-0.029889703,-7.11122,-4.823251,2.6898432,7.68237,4.8806505,-3.6163535,-7.037714,-2.334844,0.16722679,-2.5060492,-1.1061559,4.09646,1.5356181,-6.8581133,-6.006093,2.8095632,5.0339227,3.4714923,7.659277,9.184425,3.167849,0.9328618,3.033741,1.6488825,1.5314815,4.2060056,1.7332798,-1.0780491,3.6269255,5.8886337,-1.3268504,-5.3693476,1.2181914,5.7945404,-0.04708314,-5.001477,-0.6544261,3.7145753,2.0104957,1.0488107,2.0832753,-1.0269859,-6.3971543,-6.9014335,-2.4277809,1.0036185,0.93329924,1.1831701,2.3261478,0.32189435,-2.0441532,-0.5868616,-0.06565428,-1.4695265,0.24184126,1.4629743,-0.59280276,0.1740923,1.6188998,-1.8968098,-3.25742,1.2083468,2.8418527,-0.104266524,-1.5539811,-1.3156303,-2.1348217,-3.3001878,-2.291459,1.2306707,2.9537945,0.43285346,-1.514162,0.005419135,1.0588366,-0.39413977,-1.8527348,-2.2019286,-2.8705468,-3.6360917,-2.1229258,0.5271244,0.52002144,-0.5254766,0.4845605,1.0589797
../audio/high--_gb_1.wav,-387.99976,211.56897,37.92565,2.1717322,-8.408726,-9.055097,-26.197216,-11.910305,25.002277,-2.2815356,-12.713257,6.9391046,2.553154,-6.6939697,-12.030575,-1.8306847,-0.3493001,-6.1916847,1.63324,-6.8539004,-9.452684,1.3237321,0.028517723,-3.3674817,-7.963478,-0.79209733,3.4251444,-12.777954,-11.097626,2.0244706,0.7777469,-2.5741158,-1.3010736,-0.6282524,-6.4981394,-9.912005,-5.4357967,-3.276816,-3.0950994,3.0837243,9.132648,3.6953142,4.17284,10.538483,-0.8864212,-7.4312644,-0.87211955,-0.5588379,1.3919983,2.5149603,-1.3289175,-4.8653593,-6.079055,-1.56493,1.986346,3.7708688,0.9010002,-3.7007217,0.078280926,-1.703749,-1.5998611,4.321627,-0.40468156,-0.079052925,-0.3503165,-5.00219,1.9366702,1.9237198,0.98809886,5.037509,-2.6436687,-4.552744,-0.39723402,-0.90970457,2.1518242,3.3643408,1.1863902,-0.3542564,0.32686526,2.3522873,-0.81888914,-4.3888664,-2.707911,1.1421657,2.888064,-0.26330996,-4.92435,-3.5883105,3.928327,4.1292706,-1.5438833,-0.33696914,1.6602241,1.8554115,1.521924,0.20413136,1.0314617,-1.2419881,-1.8374934,1.8272266
../audio/high--_gb_1.wav,-263.3844,257.18195,11.33859,6.0493946,-33.857975,-4.356968,-22.38398,-29.587582,28.940624,-0.88517,-18.08585,6.8249044,-1.9785148,-5.258885,-5.6424255,0.48760307,-4.051621,-8.242278,-0.90926945,-10.373083,-6.8544593,-2.7244556,5.2069235,2.1942222,-8.225227,0.7530346,1.454956,-12.10047,-15.033416,3.3409538,4.0898333,-2.2565377,2.2360651,0.74194837,-7.5142307,-9.751627,-3.01445,1.2223072,-0.614874,1.6637644,10.233001,-0.13020754,0.54125977,8.59469,-4.430727,-5.6544595,-0.34464705,0.28040767,4.1417913,8.146761,6.436555,0.66153765,-3.3346875,-4.430701,0.73346615,4.4151983,-0.607479,-1.0654492,3.620542,0.9269216,-2.7961416,1.0582032,-0.3076687,0.43435097,2.4803333,-3.2914839,3.4728022,1.7641137,-1.1809129,3.2853816,-3.93051,1.1848197,2.8792014,-5.505842,0.4323442,2.9897165,-0.92441916,0.03862837,0.5435121,1.9247997,-3.9152062,-3.8359387,-0.2173839,-1.8188543,2.3292542,0.37008572,-3.1829267,-4.8016067,3.402746,2.2944636,-4.355083,0.52988356,0.44171178,3.6550846,1.0096862,-1.49705,-0.6804097,-0.20579123,-0.4193579,-1.121015
../audio/high--_gb_1.wav,-228.44202,250.91437,4.1918035,7.029156,-38.713783,-5.9264054,-30.752079,-20.186638,20.357206,0.9840424,-14.95199,8.084472,-9.489746,-5.5868726,0.003058225,-0.16445652,-4.9903297,-7.597827,2.4010394,-16.476849,0.42709997,-5.996561,6.4225364,2.597525,-6.5697846,2.3477488,-0.6594014,-5.8989944,-17.511402,7.4987803,-0.710545,-0.3788756,1.081964,2.3843925,-4.7069883,-11.041546,1.6208639,-3.566547,4.091336,-2.5477285,7.102889,-4.170179,-4.414638,6.178646,-13.141322,-4.061619,-1.1569995,2.2100217,11.534243,15.663758,14.225561,6.384219,-0.022562385,-5.8003535,-0.052693605,5.450303,-1.6226437,2.3848753,5.7295494,-1.0139269,-2.9431655,-1.1482499,0.1840694,1.503366,3.3824942,-2.5886383,3.0224297,0.9043402,-2.3290083,2.5901556,-2.5894814,3.1390638,2.6215885,-6.767358,-3.4607215,1.0023403,-1.3681394,2.0301716,0.036520004,-3.0301828,-4.887481,-1.951338,0.46506676,-3.7947643,1.5565538,-0.7012718,-3.6938405,-3.523466,2.6831045,-1.4508142,-6.758164,-0.24978685,-1.1739995,3.0487647,-0.41247487,-2.813598,-0.70876807,2.263564,1.3781099,-1.3628423
../audio/high--_gb_1.wav,-228.4834,239.37454,-4.0105386,-4.3942127,-35.218132,-3.1826794,-37.484978,-6.215522,24.23557,4.606375,-14.741903,5.9175606,-12.866615,-1.8712018,3.4411342,3.7924285,-0.1582269,-12.78997,5.4443984,-14.5824375,2.010374,-8.739749,7.804697,1.1107267,-8.375374,6.741444,-0.7351353,0.9565501,-13.764917,4.905698,-5.592442,-2.7315025,-1.2028389,1.4240351,-4.4928775,-10.972783,2.8911371,-8.48452,2.3699393,-4.2697206,-0.01728952,-8.57712,-12.782408,-1.513562,-18.058159,-10.002574,-1.1784815,0.91103816,14.370324,23.038738,22.313925,16.088783,7.82448,-3.2201848,-2.6352224,-0.10423207,-8.366415,4.3270864,5.088968,0.13670394,-1.5274338,-3.1230567,-1.6634681,-3.425551,6.3460827,0.15415215,4.4402485,-0.61989737,-5.1983767,0.71235776,-2.5927415,5.65841,1.608367,-6.1981516,-5.4228773,-2.9140286,-2.9078522,3.535039,1.2486801,-6.312212,-5.1361036,1.8670509,0.2088575,-5.2174883,0.7834978,-3.0164835,-5.1808877,-3.3751516,3.1230335,0.42493725,-5.802503,1.2216353,2.8118725,2.1048346,2.5190668,0.41838843,-0.8288934,0.4972998,-0.22691584,0.7618952
../audio/high--_gb_1.wav,-225.18379,247.22327,-8.81933,-14.229927,-31.866405,-6.066613,-46.763283,-9.406357,25.873283,1.3906614,-23.150566,-0.69275403,-11.060856,-1.0335344,-5.80215,1.284164,0.5517752,-17.426311,3.2870598,-13.469711,-2.662371,-11.336829,14.989683,0.19889468,-11.881298,9.354313,-6.204264,-4.76888,-12.477623,4.2264347,-2.4179823,-4.6147394,-5.1333942,5.4472036,-2.0041084,-8.781874,3.673026,-7.8246775,2.264587,-5.621896,-2.9128797,-6.5096016,-12.076056,-1.3724499,-11.82389,-15.660583,-6.758545,-4.3272705,3.363931,15.242468,22.703817,21.186092,12.420486,6.23474,1.7580912,1.8158855,-6.9943504,0.987885,4.8091984,3.809373,1.8939533,0.6189673,-2.066756,-6.227294,8.467262,-0.44620895,5.7304955,4.121888,-5.334133,-3.5673895,-4.492981,7.191211,1.1971438,-4.700156,-0.6865298,-4.0386395,-7.301014,5.2626696,5.368128,-1.3831267,-3.9706972,-1.8877857,-3.035575,-5.3001566,3.2120647,-3.1590996,-5.2698803,-6.034359,-0.16269326,4.3417435,-2.2111592,-0.27227688,1.2601981,0.880095,3.717629,5.0332384,0.18848109,-1.3767021,0.7018597,1.0863371
../audio/high--_gb_1.wav,-227.9157,242.85191,-19.479193,-11.816027,-34.399586,-10.057117,-47.511177,-19.434402,32.43428,-5.7853117,-30.325176,6.0437403,-10.001469,-2.171317,-4.024196,0.8770123,-2.9868326,-15.284626,2.988379,-20.366138,-9.014798,-9.440474,10.923422,-2.96344,-17.823116,3.0763717,-6.374996,-9.333096,-6.843048,5.8184986,-1.2089857,-3.1484299,-8.123385,0.27420294,-5.8419886,-6.878029,-1.7288582,-8.524717,-2.1667166,-11.27973,-4.714898,-4.767537,-6.8925996,-1.8016703,-5.5507145,-16.161383,-11.5786915,-10.974916,-6.8913345,6.8579793,12.619724,20.43531,19.27172,19.411552,8.046928,6.4759893,-3.6090908,-8.540157,1.7589891,2.0895152,3.2549863,4.8482294,-0.85236144,-7.133235,0.4600251,-5.4139357,4.49596,3.8903544,-4.790857,-1.1037365,-3.512565,3.5128093,1.6797996,0.9725926,3.6369696,-1.3802834,-6.1430655,1.5626192,-0.66470003,-2.5557895,0.32705045,-2.8577747,-6.0202317,-8.292849,1.0975597,0.8072974,-2.949161,-3.0252526,-0.76366735,2.5353107,2.1327405,2.3293314,0.3527816,-2.1789172,1.7517102,2.6555324,-0.36479306,1.6936464,1.609608,2.1856177
../audio/high--_gb_1.wav,-228.60178,238.21552,-20.14705,-5.6708913,-42.504623,-16.811752,-42.590237,-18.774075,30.144024,-6.784903,-28.475912,5.658044,-4.7528715,-1.624853,-6.6269207,2.4819007,-4.4750547,-15.772749,-1.0507501,-21.514542,-12.076931,-7.489404,12.42609,-9.312595,-14.259548,3.2785792,-9.438142,-11.198616,-8.044657,2.2956676,-2.7045617,4.3240066,-5.43139,0.9848478,-8.281742,-9.529765,-2.3260512,-8.558836,3.3176413,-11.222639,-6.5439644,-3.229942,-7.0098104,-4.022052,-4.7403703,-10.165279,-8.087385,-12.767956,-14.617704,-2.2146616,-0.5648396,6.383416,15.242464,18.724537,12.476383,15.109242,1.5469872,-7.450085,1.6929696,0.31078434,-3.3587074,3.2618508,5.662392,-1.9871774,-0.4079761,-8.165995,1.2444882,2.0092669,-1.2466617,6.607978,0.2369588,-0.8737912,-0.45556056,-1.893466,3.0834603,3.367982,-3.0029817,3.5100641,-3.417753,-2.291502,3.467299,2.31148,-0.96794415,-7.7144294,-1.8833499,-3.8870795,1.123059,0.7570045,0.93674564,1.6166263,-1.1650585,1.7112269,0.29886174,2.7442682,1.9802041,0.7294847,-2.655775,1.3415164,1.734629,-1.7483692
